date,scores,date
2018-07-11,"-1,1635",2018-07-11
2018-07-12,"0,0",2018-07-12
2018-07-13,"0,0772",2018-07-13
2018-07-14,"-0,2834999999999999",2018-07-14
2018-07-15,"-0,296",2018-07-15
2018-07-16,"0,0",2018-07-16
2018-07-17,"-0,6322",2018-07-17
2018-07-18,"0,6369",2018-07-18
2018-07-19,"0,1043",2018-07-19
2018-07-20,"0,0",2018-07-20
2018-07-21,"0,0",2018-07-21
2018-07-22,"-0,38629999999999987",2018-07-22
2018-07-23,"1,3914",2018-07-23
2018-07-24,"-1,1076000000000001",2018-07-24
2018-07-25,"0,04400000000000004",2018-07-25
2018-07-26,"-2,8576",2018-07-26
2018-07-27,"-0,22410000000000002",2018-07-27
2018-07-28,"0,0",2018-07-28
2018-07-29,"0,0",2018-07-29
2018-07-30,"-0,3595",2018-07-30
2018-07-31,"-0,18159999999999993",2018-07-31
2018-08-01,"0,0",2018-08-01
2018-08-02,"-0,296",2018-08-02
2018-08-03,"0,0",2018-08-03
2018-08-04,"-0,8533999999999999",2018-08-04
2018-08-05,"-0,21739999999999998",2018-08-05
2018-08-06,"0,13339999999999996",2018-08-06
2018-08-07,"-1,2734999999999999",2018-08-07
2018-08-08,"0,6688",2018-08-08
2018-08-09,"-0,2732",2018-08-09
2018-08-10,"0,07960000000000006",2018-08-10
2018-08-11,"0,0",2018-08-11
2018-08-12,"0,4588",2018-08-12
2018-08-13,"0,0",2018-08-13
2018-08-14,"0,0",2018-08-14
2018-08-15,"0,0",2018-08-15
2018-08-16,"-0,296",2018-08-16
2018-08-18,"-0,2732",2018-08-18
2018-08-19,"0,6908",2018-08-19
2018-08-20,"-0,14199999999999996",2018-08-20
2018-08-21,"0,0",2018-08-21
2018-08-22,"-0,9960999999999999",2018-08-22
2018-08-23,"-0,6298",2018-08-23
2018-08-24,"0,5461",2018-08-24
2018-08-25,"0,04400000000000004",2018-08-25
2018-08-26,"0,5859",2018-08-26
2018-08-27,"-0,592",2018-08-27
2018-08-28,"-0,296",2018-08-28
2018-08-29,"0,04400000000000004",2018-08-29
2018-08-30,"-1,8056999999999999",2018-08-30
2018-08-31,"0,7284",2018-08-31
2018-09-01,"0,0",2018-09-01
2018-09-02,"0,0",2018-09-02
2018-09-03,"0,35259999999999997",2018-09-03
2018-09-04,"0,0",2018-09-04
2018-09-05,"-0,4856",2018-09-05
2018-09-06,"-0,2561",2018-09-06
2018-09-07,"0,4459",2018-09-07
2018-09-08,"0,0",2018-09-08
2018-09-09,"-0,5267",2018-09-09
2018-09-10,"-0,05639999999999995",2018-09-10
2018-09-11,"0,0516",2018-09-11
2018-09-12,"-0,9224999999999999",2018-09-12
2018-09-13,"-0,5803",2018-09-13
2018-09-14,"-0,42199999999999993",2018-09-14
2018-09-15,"-0,842",2018-09-15
2018-09-16,"0,2899",2018-09-16
2018-09-17,"-0,296",2018-09-17
2018-09-18,"-0,7305999999999999",2018-09-18
2018-09-19,"-0,27880000000000005",2018-09-19
2018-09-20,"-0,3736",2018-09-20
2018-09-21,"-0,546",2018-09-21
2018-09-23,"0,34",2018-09-23
2018-09-24,"-0,9644999999999999",2018-09-24
2018-09-25,"-0,8238999999999999",2018-09-25
2018-09-26,"-0,296",2018-09-26
2018-09-27,"0,1345",2018-09-27
2018-09-28,"0,0",2018-09-28
2018-09-29,"-1,3234",2018-09-29
2018-09-30,"-0,3668",2018-09-30
2018-10-01,"-0,2263",2018-10-01
2018-10-02,"-0,3197",2018-10-02
2018-10-03,"-0,4466",2018-10-03
2018-10-04,"-0,296",2018-10-04
2018-10-05,"-0,03320000000000001",2018-10-05
2018-10-06,"-0,296",2018-10-06
2018-10-07,"-0,296",2018-10-07
2018-10-08,"-0,49459999999999993",2018-10-08
2018-10-09,"-0,8943000000000001",2018-10-09
2018-10-10,"-0,13029999999999997",2018-10-10
2018-10-11,"-0,6436",2018-10-11
2018-10-12,"-0,7149",2018-10-12
2018-10-13,"0,5179",2018-10-13
2018-10-14,"0,0",2018-10-14
2018-10-15,"0,0",2018-10-15
2018-10-16,"-0,6074999999999999",2018-10-16
2018-10-17,"-0,4184",2018-10-17
2018-10-18,"0,5854000000000001",2018-10-18
2018-10-19,"-0,592",2018-10-19
2018-10-20,"-1,3191",2018-10-20
2018-10-21,"0,0",2018-10-21
2018-10-22,"-0,6679",2018-10-22
2018-10-23,"0,7794000000000001",2018-10-23
2018-10-24,"-0,09809999999999997",2018-10-24
2018-10-25,"0,1059",2018-10-25
2018-10-26,"0,0",2018-10-26
2018-10-27,"-0,8",2018-10-27
2018-10-28,"-0,2584",2018-10-28
2018-10-29,"0,0",2018-10-29
2018-10-30,"-4,9045",2018-10-30
2018-10-31,"-2,4552",2018-10-31
2018-11-01,"-0,296",2018-11-01
2018-11-02,"0,5994",2018-11-02
2018-11-03,"-0,296",2018-11-03
2018-11-04,"0,296",2018-11-04
2018-11-05,"-0,8523999999999998",2018-11-05
